Protein,Peptide Count,Protein Length,Normalized Peptide Count
sp|D6VTK4|STE2_YEAST,1,431,0.002320185614849188
sp|O14468|YO304_YEAST,1,76,0.013157894736842105
sp|O14467|MBF1_YEAST,1,151,0.006622516556291391
sp|P0CF17|U5072_YEAST,1,737,0.0013568521031207597
sp|P07390|PT494_YEAST,1,489,0.002044989775051125
sp|P0C0V8|RS21A_YEAST,1,87,0.011494252873563218
sp|P06101|CDC37_YEAST,1,506,0.001976284584980237
sp|P05749|RL22A_YEAST,1,121,0.008264462809917356
sp|P07703|RPAC1_YEAST,1,335,0.0029850746268656717
sp|P09435|HSP73_YEAST,1,649,0.0015408320493066256
sp|P05759|RS27A_YEAST,1,152,0.006578947368421052
sp|P02829|HSP82_YEAST,1,709,0.0014104372355430183
sp|P05740|RL17A_YEAST,1,184,0.005434782608695652
sp|P04840|VDAC1_YEAST,2,283,0.007067137809187279
sp|P04819|DNLI1_YEAST,1,755,0.0013245033112582781
sp|P06105|SC160_YEAST,5,1222,0.004091653027823241
sp|P04821|CDC25_YEAST,2,1589,0.0012586532410320957
sp|P00549|KPYK1_YEAST,15,500,0.03
sp|P00890|CISY1_YEAST,3,479,0.006263048016701462
sp|P0CS90|HSP77_YEAST,4,654,0.0061162079510703364
sp|P0C2H8|RL31A_YEAST,1,113,0.008849557522123894
sp|P07213|TOM70_YEAST,4,617,0.006482982171799027
sp|P07266|MRS1_YEAST,1,363,0.0027548209366391185
sp|P09624|DLDH_YEAST,1,499,0.002004008016032064
sp|P05756|RS13_YEAST,1,151,0.006622516556291391
sp|P06786|TOP2_YEAST,1,1428,0.0007002801120448179
sp|P00498|HIS1_YEAST,1,297,0.003367003367003367
sp|P00924|ENO1_YEAST,1,437,0.002288329519450801
sp|P00358|G3P2_YEAST,1,332,0.0030120481927710845
sp|P07347|ARD1_YEAST,1,238,0.004201680672268907
sp|P07264|LEUC_YEAST,3,779,0.0038510911424903724
sp|P04807|HXKB_YEAST,2,486,0.00411522633744856
sp|P00815|HIS2_YEAST,2,799,0.0025031289111389237
sp|P06102|NOT3_YEAST,2,836,0.0023923444976076554
sp|P08417|FUMH_YEAST,1,488,0.0020491803278688526
sp|P02992|EFTU_YEAST,2,437,0.004576659038901602
sp|P00431|CCPR_YEAST,1,361,0.002770083102493075
sp|P07244|PUR2_YEAST,2,802,0.0024937655860349127
sp|P00330|ADH1_YEAST,1,348,0.0028735632183908046
sp|P06780|RHO1_YEAST,1,209,0.004784688995215311
sp|P00360|G3P1_YEAST,1,332,0.0030120481927710845
sp|P09436|SYIC_YEAST,1,1072,0.0009328358208955224
sp|P09734|TBA3_YEAST,1,445,0.0022471910112359553
sp|P06782|SNF1_YEAST,1,633,0.001579778830963665
sp|P08678|CYAA_YEAST,1,2026,0.0004935834155972359
sp|P08524|FPPS_YEAST,1,352,0.002840909090909091
sp|P06168|ILV5_YEAST,4,395,0.010126582278481013
sp|P07149|FAS1_YEAST,4,2051,0.0019502681618722574
sp|P00447|SODM_YEAST,1,233,0.004291845493562232
sp|P05373|HEM2_YEAST,1,342,0.0029239766081871343
sp|P07274|PROF_YEAST,1,126,0.007936507936507936
sp|P08459|SPS2_YEAST,1,502,0.00199203187250996
