Protein,Peptide Count,Protein Length,Normalized Peptide Count
sp|O14468|YO304_YEAST,1,76,0.013157894736842105
sp|O13297|CET1_YEAST,2,549,0.0036429872495446266
sp|O42831|YA075_YEAST,1,157,0.006369426751592357
sp|P09032|EI2BG_YEAST,2,578,0.0034602076124567475
sp|P0CS90|HSP77_YEAST,1,654,0.0015290519877675841
sp|P07213|TOM70_YEAST,1,617,0.0016207455429497568
sp|P07703|RPAC1_YEAST,1,335,0.0029850746268656717
sp|P04819|DNLI1_YEAST,1,755,0.0013245033112582781
sp|P05759|RS27A_YEAST,1,152,0.006578947368421052
sp|P07390|PT494_YEAST,1,489,0.002044989775051125
sp|P02829|HSP82_YEAST,2,709,0.0028208744710860366
sp|P05740|RL17A_YEAST,1,184,0.005434782608695652
sp|P09435|HSP73_YEAST,1,649,0.0015408320493066256
sp|P06103|EIF3B_YEAST,2,763,0.002621231979030144
sp|P06105|SC160_YEAST,4,1222,0.0032733224222585926
sp|P04821|CDC25_YEAST,2,1589,0.0012586532410320957
sp|P00549|KPYK1_YEAST,18,500,0.036
sp|P00890|CISY1_YEAST,5,479,0.010438413361169102
sp|P03879|MBI4_YEAST,1,638,0.001567398119122257
sp|P07267|CARP_YEAST,1,405,0.0024691358024691358
sp|P00358|G3P2_YEAST,1,332,0.0030120481927710845
sp|P07251|ATPA_YEAST,1,545,0.001834862385321101
sp|P09064|IF2B_YEAST,1,285,0.0035087719298245615
sp|P09959|SWI6_YEAST,1,803,0.0012453300124533001
sp|P00812|ARGI_YEAST,1,333,0.003003003003003003
sp|P00427|COX6_YEAST,1,148,0.006756756756756757
sp|P05317|RLA0_YEAST,1,312,0.003205128205128205
sp|P07866|LTE1_YEAST,1,1435,0.0006968641114982578
sp|P00815|HIS2_YEAST,1,799,0.0012515644555694619
sp|P07271|PIF1_YEAST,1,859,0.0011641443538998836
sp|P04806|HXKA_YEAST,1,485,0.002061855670103093
sp|P06102|NOT3_YEAST,2,836,0.0023923444976076554
sp|P08566|ARO1_YEAST,1,1588,0.0006297229219143577
sp|P00431|CCPR_YEAST,1,361,0.002770083102493075
sp|P00924|ENO1_YEAST,1,437,0.002288329519450801
sp|P02400|RLA4_YEAST,1,110,0.00909090909090909
sp|P05030|PMA1_YEAST,2,918,0.002178649237472767
sp|P09734|TBA3_YEAST,1,445,0.0022471910112359553
sp|P00925|ENO2_YEAST,11,437,0.02517162471395881
sp|P05694|METE_YEAST,3,767,0.003911342894393742
sp|P06782|SNF1_YEAST,1,633,0.001579778830963665
sp|P07244|PUR2_YEAST,4,802,0.004987531172069825
sp|P08678|CYAA_YEAST,1,2026,0.0004935834155972359
sp|P07285|TRPD_YEAST,1,380,0.002631578947368421
sp|P08539|GPA1_YEAST,1,472,0.00211864406779661
sp|P06168|ILV5_YEAST,3,395,0.007594936708860759
sp|P04710|ADT1_YEAST,1,309,0.003236245954692557
sp|P05319|RLA2_YEAST,1,106,0.009433962264150943
sp|P05373|HEM2_YEAST,1,342,0.0029239766081871343
sp|P02992|EFTU_YEAST,2,437,0.004576659038901602
sp|P07246|ADH3_YEAST,2,375,0.005333333333333333
sp|P06169|PDC1_YEAST,8,563,0.014209591474245116
sp|P00546|CDK1_YEAST,2,298,0.006711409395973154
sp|P03872|REP2_YEAST,1,296,0.0033783783783783786
sp|P07258|CARA_YEAST,1,411,0.0024330900243309003
sp|P00330|ADH1_YEAST,2,348,0.005747126436781609
sp|P07284|SYSC_YEAST,5,462,0.010822510822510822
sp|P09620|KEX1_YEAST,1,729,0.0013717421124828531
sp|P09624|DLDH_YEAST,4,499,0.008016032064128256
sp|P08067|UCRI_YEAST,1,215,0.004651162790697674
sp|P06843|SPT2_YEAST,1,333,0.003003003003003003
sp|P06738|PHSG_YEAST,1,902,0.0011086474501108647
