Protein,Peptide Count,Protein Length,Normalized Peptide Count
sp|D6VTK4|STE2_YEAST,4,431,0.009280742459396751
sp|P00761|TRYP_PIG,12,231,0.05194805194805195
sp|O14468|YO304_YEAST,1,76,0.013157894736842105
sp|O13547|CCW14_YEAST,6,238,0.025210084033613446
sp|O13585|YP089_YEAST,2,888,0.0022522522522522522
sp|O13563|RPN13_YEAST,3,156,0.019230769230769232
sp|O14455|RL36B_YEAST,2,100,0.02
sp|O13329|FOB1_YEAST,2,566,0.0035335689045936395
sp|O13539|THP2_YEAST,1,261,0.0038314176245210726
sp|O13516|RS9A_YEAST,1,197,0.005076142131979695
sp|O13297|CET1_YEAST,9,549,0.01639344262295082
sp|O14467|MBF1_YEAST,14,151,0.09271523178807947
sp|O43137|YB085_YEAST,2,85,0.023529411764705882
sp|P0C0V8|RS21A_YEAST,3,87,0.034482758620689655
sp|P00425|COX5B_YEAST,1,151,0.006622516556291391
sp|P0CF19|YO162_YEAST,1,215,0.004651162790697674
sp|P05749|RL22A_YEAST,4,121,0.03305785123966942
sp|P05744|RL33A_YEAST,2,107,0.018691588785046728
sp|P06704|CDC31_YEAST,3,161,0.018633540372670808
sp|P09435|HSP73_YEAST,3,649,0.004622496147919877
sp|P05740|RL17A_YEAST,3,184,0.016304347826086956
sp|P07703|RPAC1_YEAST,11,335,0.03283582089552239
sp|P05743|RL26A_YEAST,1,127,0.007874015748031496
sp|P04840|VDAC1_YEAST,24,283,0.08480565371024736
sp|P04819|DNLI1_YEAST,4,755,0.005298013245033113
sp|P05748|RL15A_YEAST,5,204,0.024509803921568627
sp|P06103|EIF3B_YEAST,26,763,0.03407601572739188
sp|P06367|RS14A_YEAST,1,137,0.0072992700729927005
sp|P0C2H9|RL31B_YEAST,2,113,0.017699115044247787
sp|P06101|CDC37_YEAST,12,506,0.023715415019762844
sp|P0C2H8|RL31A_YEAST,2,113,0.017699115044247787
sp|P09798|CDC16_YEAST,1,840,0.0011904761904761906
sp|P05745|RL36A_YEAST,1,100,0.01
sp|P04821|CDC25_YEAST,5,1589,0.0031466331025802393
sp|P05759|RS27A_YEAST,9,152,0.05921052631578947
sp|P00549|KPYK1_YEAST,143,500,0.286
sp|P09032|EI2BG_YEAST,6,578,0.010380622837370242
sp|P00890|CISY1_YEAST,22,479,0.04592901878914405
sp|P02829|HSP82_YEAST,9,709,0.012693935119887164
sp|P07213|TOM70_YEAST,27,617,0.04376012965964344
sp|P06105|SC160_YEAST,74,1222,0.060556464811783964
sp|P0CS90|HSP77_YEAST,49,654,0.07492354740061162
sp|P05318|RLA1_YEAST,1,106,0.009433962264150943
sp|P06174|HEM4_YEAST,1,275,0.0036363636363636364
sp|P06245|KAPB_YEAST,1,380,0.002631578947368421
sp|P00912|TRPF_YEAST,1,224,0.004464285714285714
sp|P06839|RAD3_YEAST,1,778,0.0012853470437017994
sp|P07866|LTE1_YEAST,1,1435,0.0006968641114982578
sp|P00447|SODM_YEAST,2,233,0.008583690987124463
