Protein,Peptide Count,Protein Length,Normalized Peptide Count
sp|D6VTK4|STE2_YEAST,5,431,0.01160092807424594
sp|P00761|TRYP_PIG,12,231,0.05194805194805195
sp|O13563|RPN13_YEAST,1,156,0.00641025641025641
sp|O13585|YP089_YEAST,1,888,0.0011261261261261261
sp|O13547|CCW14_YEAST,6,238,0.025210084033613446
sp|O14455|RL36B_YEAST,3,100,0.03
sp|O13525|COQ4_YEAST,1,335,0.0029850746268656717
sp|O13516|RS9A_YEAST,1,197,0.005076142131979695
sp|O13297|CET1_YEAST,6,549,0.01092896174863388
sp|O14467|MBF1_YEAST,11,151,0.0728476821192053
sp|O43137|YB085_YEAST,3,85,0.03529411764705882
sp|P0C0V8|RS21A_YEAST,2,87,0.022988505747126436
sp|P05749|RL22A_YEAST,3,121,0.024793388429752067
sp|P00425|COX5B_YEAST,1,151,0.006622516556291391
sp|P05744|RL33A_YEAST,2,107,0.018691588785046728
sp|P06704|CDC31_YEAST,2,161,0.012422360248447204
sp|P05740|RL17A_YEAST,3,184,0.016304347826086956
sp|P04840|VDAC1_YEAST,19,283,0.06713780918727916
sp|P07703|RPAC1_YEAST,7,335,0.020895522388059702
sp|P05743|RL26A_YEAST,1,127,0.007874015748031496
sp|P04819|DNLI1_YEAST,3,755,0.003973509933774834
sp|P05748|RL15A_YEAST,5,204,0.024509803921568627
sp|P09435|HSP73_YEAST,2,649,0.0030816640986132513
sp|P06101|CDC37_YEAST,10,506,0.019762845849802372
sp|P06103|EIF3B_YEAST,28,763,0.03669724770642202
sp|P0C2H9|RL31B_YEAST,3,113,0.02654867256637168
sp|P0C2H8|RL31A_YEAST,2,113,0.017699115044247787
sp|P09798|CDC16_YEAST,1,840,0.0011904761904761906
sp|P05745|RL36A_YEAST,1,100,0.01
sp|P04821|CDC25_YEAST,3,1589,0.0018879798615481435
sp|P06105|SC160_YEAST,68,1222,0.05564648117839607
sp|P07213|TOM70_YEAST,21,617,0.03403565640194489
sp|P00549|KPYK1_YEAST,128,500,0.256
sp|P05759|RS27A_YEAST,5,152,0.03289473684210526
sp|P00890|CISY1_YEAST,15,479,0.031315240083507306
sp|P09032|EI2BG_YEAST,5,578,0.00865051903114187
sp|P0CS90|HSP77_YEAST,41,654,0.06269113149847094
sp|P02829|HSP82_YEAST,11,709,0.015514809590973202
sp|P06174|HEM4_YEAST,1,275,0.0036363636363636364
sp|P00128|QCR7_YEAST,1,127,0.007874015748031496
sp|P00912|TRPF_YEAST,1,224,0.004464285714285714
sp|P07266|MRS1_YEAST,1,363,0.0027548209366391185
sp|P07258|CARA_YEAST,2,411,0.004866180048661801
sp|P08067|UCRI_YEAST,2,215,0.009302325581395349
sp|P01098|STF1_YEAST,1,86,0.011627906976744186
sp|P05738|RL9A_YEAST,3,191,0.015706806282722512
sp|P08466|NUC1_YEAST,2,329,0.0060790273556231
sp|P06100|NOT2_YEAST,2,191,0.010471204188481676
sp|P06245|KAPB_YEAST,1,380,0.002631578947368421
sp|P04039|COX8_YEAST,1,78,0.01282051282051282
sp|P09733|TBA1_YEAST,11,447,0.024608501118568233
sp|P02406|RL28_YEAST,10,149,0.06711409395973154
sp|P07269|PHO2_YEAST,1,559,0.0017889087656529517
sp|P04650|RL39_YEAST,1,51,0.0196078431372549
sp|P0CT04|IPB2_YEAST,2,75,0.02666666666666667
sp|P06785|TYSY_YEAST,9,304,0.029605263157894735
sp|P07262|DHE4_YEAST,18,454,0.039647577092511016
sp|P04161|PUR3_YEAST,1,214,0.004672897196261682
sp|P00572|KTHY_YEAST,1,216,0.004629629629629629
sp|P00410|COX2_YEAST,2,251,0.00796812749003984
sp|P07347|ARD1_YEAST,7,238,0.029411764705882353
sp|P00724|INV2_YEAST,2,532,0.0037593984962406013
sp|P00546|CDK1_YEAST,3,298,0.010067114093959731
sp|P06775|HIP1_YEAST,1,603,0.001658374792703151
sp|P07866|LTE1_YEAST,1,1435,0.0006968641114982578
sp|P00427|COX6_YEAST,3,148,0.02027027027027027
sp|P04037|COX4_YEAST,3,155,0.01935483870967742
sp|P02400|RLA4_YEAST,15,110,0.13636363636363635
sp|P09734|TBA3_YEAST,11,445,0.024719101123595506
sp|P05373|HEM2_YEAST,12,342,0.03508771929824561
sp|P06843|SPT2_YEAST,1,333,0.003003003003003003
sp|P06839|RAD3_YEAST,1,778,0.0012853470437017994
sp|P07248|ADR1_YEAST,1,1323,0.0007558578987150416
sp|P04786|TOP1_YEAST,2,769,0.002600780234070221
sp|P08004|CHS1_YEAST,4,1131,0.0035366931918656055
sp|P00127|QCR6_YEAST,1,147,0.006802721088435374
sp|P02992|EFTU_YEAST,16,437,0.036613272311212815
sp|P09959|SWI6_YEAST,2,803,0.0024906600249066002
