Protein,Peptide Count,Protein Length,Normalized Peptide Count
sp|D6VTK4|STE2_YEAST,1,431,0.002320185614849188
sp|O14467|MBF1_YEAST,2,151,0.013245033112582781
sp|O13297|CET1_YEAST,3,549,0.00546448087431694
sp|O43137|YB085_YEAST,1,85,0.011764705882352941
sp|O42831|YA075_YEAST,1,157,0.006369426751592357
sp|P07703|RPAC1_YEAST,1,335,0.0029850746268656717
sp|P0C0V8|RS21A_YEAST,1,87,0.011494252873563218
sp|P04840|VDAC1_YEAST,1,283,0.0035335689045936395
sp|P08679|CISY2_YEAST,1,460,0.002173913043478261
sp|P05740|RL17A_YEAST,1,184,0.005434782608695652
sp|P06103|EIF3B_YEAST,2,763,0.002621231979030144
sp|P0CS90|HSP77_YEAST,2,654,0.0030581039755351682
sp|P04821|CDC25_YEAST,1,1589,0.0006293266205160479
sp|P02829|HSP82_YEAST,1,709,0.0014104372355430183
sp|P06105|SC160_YEAST,7,1222,0.0057283142389525366
sp|P0CF22|YI167_YEAST,1,210,0.004761904761904762
sp|P00549|KPYK1_YEAST,14,500,0.028
sp|P00890|CISY1_YEAST,2,479,0.0041753653444676405
sp|P04819|DNLI1_YEAST,1,755,0.0013245033112582781
sp|P03874|CBP2_YEAST,1,630,0.0015873015873015873
sp|P09938|RIR2_YEAST,1,399,0.002506265664160401
sp|P04803|SYWM_YEAST,1,379,0.002638522427440633
sp|P06634|DED1_YEAST,3,604,0.004966887417218543
sp|P09880|TRNL_YEAST,1,827,0.0012091898428053204
sp|P06701|SIR3_YEAST,1,978,0.0010224948875255625
sp|P07258|CARA_YEAST,1,411,0.0024330900243309003
sp|P06245|KAPB_YEAST,1,380,0.002631578947368421
sp|P07270|PHO4_YEAST,1,312,0.003205128205128205
sp|P09620|KEX1_YEAST,1,729,0.0013717421124828531
sp|P07347|ARD1_YEAST,1,238,0.004201680672268907
sp|P09457|ATPO_YEAST,2,212,0.009433962264150943
sp|P07884|MOD5_YEAST,1,428,0.002336448598130841
sp|P07170|KAD2_YEAST,1,222,0.0045045045045045045
sp|P07264|LEUC_YEAST,2,779,0.0025673940949935813
sp|P04807|HXKB_YEAST,3,486,0.006172839506172839
sp|P04806|HXKA_YEAST,3,485,0.006185567010309278
sp|P07271|PIF1_YEAST,1,859,0.0011641443538998836
sp|P07251|ATPA_YEAST,1,545,0.001834862385321101
sp|P00431|CCPR_YEAST,1,361,0.002770083102493075
sp|P07262|DHE4_YEAST,1,454,0.0022026431718061676
sp|P06208|LEU1_YEAST,1,619,0.0016155088852988692
sp|P06738|PHSG_YEAST,1,902,0.0011086474501108647
sp|P06780|RHO1_YEAST,1,209,0.004784688995215311
sp|P05319|RLA2_YEAST,1,106,0.009433962264150943
sp|P00924|ENO1_YEAST,2,437,0.004576659038901602
sp|P09734|TBA3_YEAST,1,445,0.0022471910112359553
sp|P06785|TYSY_YEAST,1,304,0.003289473684210526
sp|P00359|G3P3_YEAST,1,332,0.0030120481927710845
sp|P07245|C1TC_YEAST,2,946,0.0021141649048625794
sp|P04076|ARLY_YEAST,1,463,0.0021598272138228943
sp|P08566|ARO1_YEAST,3,1588,0.001889168765743073
sp|P05374|CHO2_YEAST,2,869,0.0023014959723820483
sp|P00927|THDH_YEAST,1,576,0.001736111111111111
sp|P00937|TRPG_YEAST,1,484,0.002066115702479339
sp|P00445|SODC_YEAST,1,154,0.006493506493506494
sp|P08466|NUC1_YEAST,1,329,0.00303951367781155
sp|P07253|CBP6_YEAST,1,162,0.006172839506172839
sp|P08004|CHS1_YEAST,1,1131,0.0008841732979664014
sp|P00942|TPIS_YEAST,3,248,0.012096774193548387
sp|P00899|TRPE_YEAST,1,507,0.0019723865877712033
sp|P05694|METE_YEAST,4,767,0.005215123859191656
sp|P00815|HIS2_YEAST,4,799,0.0050062578222778474
sp|P04456|RL25_YEAST,1,142,0.007042253521126761
sp|P06776|PDE2_YEAST,1,526,0.0019011406844106464
sp|P07246|ADH3_YEAST,2,375,0.005333333333333333
sp|P04802|SYDC_YEAST,2,557,0.003590664272890485
sp|P00447|SODM_YEAST,2,233,0.008583690987124463
sp|P06839|RAD3_YEAST,1,778,0.0012853470437017994
sp|P06102|NOT3_YEAST,4,836,0.004784688995215311
sp|P05626|ATPF_YEAST,2,244,0.00819672131147541
sp|P09232|PRTB_YEAST,2,635,0.0031496062992125984
sp|P07236|SYTM_YEAST,1,462,0.0021645021645021645
