Protein,Peptide Count,Protein Length,Normalized Peptide Count
sp|D6VTK4|STE2_YEAST,4,431,0.009280742459396751
sp|P00761|TRYP_PIG,12,231,0.05194805194805195
sp|O13535|YH11B_YEAST,1,1793,0.0005577244841048522
sp|O13563|RPN13_YEAST,2,156,0.01282051282051282
sp|O13547|CCW14_YEAST,7,238,0.029411764705882353
sp|O13585|YP089_YEAST,2,888,0.0022522522522522522
sp|O14455|RL36B_YEAST,3,100,0.03
sp|O13527|YA11B_YEAST,1,1196,0.0008361204013377926
sp|O13525|COQ4_YEAST,1,335,0.0029850746268656717
sp|O13577|DIF1_YEAST,1,133,0.007518796992481203
sp|O13516|RS9A_YEAST,1,197,0.005076142131979695
sp|O13297|CET1_YEAST,6,549,0.01092896174863388
sp|O14467|MBF1_YEAST,12,151,0.07947019867549669
sp|O43137|YB085_YEAST,3,85,0.03529411764705882
sp|P0C0V8|RS21A_YEAST,2,87,0.022988505747126436
sp|P00425|COX5B_YEAST,1,151,0.006622516556291391
sp|P05749|RL22A_YEAST,6,121,0.049586776859504134
sp|P05744|RL33A_YEAST,2,107,0.018691588785046728
sp|P06704|CDC31_YEAST,3,161,0.018633540372670808
sp|P00424|COX5A_YEAST,1,153,0.006535947712418301
sp|P09435|HSP73_YEAST,2,649,0.0030816640986132513
sp|P05740|RL17A_YEAST,2,184,0.010869565217391304
sp|P04449|RL24A_YEAST,1,155,0.0064516129032258064
sp|P07703|RPAC1_YEAST,7,335,0.020895522388059702
sp|P05743|RL26A_YEAST,1,127,0.007874015748031496
sp|P04840|VDAC1_YEAST,20,283,0.0706713780918728
sp|P04819|DNLI1_YEAST,4,755,0.005298013245033113
sp|P05748|RL15A_YEAST,4,204,0.0196078431372549
sp|P06367|RS14A_YEAST,1,137,0.0072992700729927005
sp|P06101|CDC37_YEAST,15,506,0.029644268774703556
sp|P04821|CDC25_YEAST,3,1589,0.0018879798615481435
sp|P0C5P5|YK165_YEAST,1,77,0.012987012987012988
sp|P07213|TOM70_YEAST,21,617,0.03403565640194489
sp|P05745|RL36A_YEAST,2,100,0.02
sp|P00549|KPYK1_YEAST,147,500,0.294
sp|P0C2H9|RL31B_YEAST,3,113,0.02654867256637168
sp|P05759|RS27A_YEAST,6,152,0.039473684210526314
sp|P00890|CISY1_YEAST,21,479,0.04384133611691023
sp|P09032|EI2BG_YEAST,9,578,0.015570934256055362
sp|P0C2H8|RL31A_YEAST,3,113,0.02654867256637168
sp|P02829|HSP82_YEAST,10,709,0.014104372355430184
sp|P06105|SC160_YEAST,74,1222,0.060556464811783964
sp|P06103|EIF3B_YEAST,29,763,0.03800786369593709
sp|P0CS90|HSP77_YEAST,44,654,0.0672782874617737
sp|P06174|HEM4_YEAST,1,275,0.0036363636363636364
sp|P07270|PHO4_YEAST,2,312,0.00641025641025641
sp|P00331|ADH2_YEAST,1,348,0.0028735632183908046
sp|P03874|CBP2_YEAST,1,630,0.0015873015873015873
